"Order_Date","Order_Time_Placed","Order_Time_Picked","Delivery_Duration","Order_Type","Delivery_Person_Age","Delivery_Person_Ratings","Delivery_Person_Tenure","Vehicle_Type","Vehicle_Condition","Festival","Location_Type","Weather_Conditions","Road_Traffic_Conditions","Multiple_Deliveries"
"15/03/2022","19:15:00","19:25:00",26,"Drinks ",30,4.6,16,"scooter ",1,"No ","Metropolitian ","Sandstorms","Jam ",1
"15/02/2022","8:10:00","8:20:00",15,"Drinks ",34,4.8,21,"scooter ",2,"No ","Urban ","Cloudy","Low ",0
"5/03/2022","8:15:00","8:30:00",22,"Snack ",29,4.5,19,"motorcycle ",0,"No ","Metropolitian ","Stormy","Low ",1
"1/03/2022","23:50:00","0:00:00",19,"Snack ",30,4.6,13,"motorcycle ",1,"No ","Metropolitian ","Fog","Low ",0
"31/03/2022","18:40:00","18:50:00",35,"Drinks ",35,4.9,3,"motorcycle ",0,"No ","Metropolitian ","Cloudy","Medium ",1
"30/03/2022","9:20:00","9:25:00",22,"Buffet ",23,4.5,23,"motorcycle ",0,"No ","Metropolitian ","Stormy","Low ",1
"14/02/2022","20:10:00","20:20:00",21,"Buffet ",35,4.7,21,"scooter ",2,"No ","Urban ","Sunny","Jam ",1
"24/03/2022","14:00:00","14:15:00",27,"Meal ",37,4.6,14,"scooter ",2,"No ","Metropolitian ","Cloudy","High ",1
"3/03/2022","23:50:00","23:55:00",14,"Drinks ",36,5,21,"motorcycle ",2,"No ","Urban ","Sunny","Low ",0
"13/03/2022","19:15:00","19:25:00",28,"Drinks ",29,4.9,23,"motorcycle ",0,"No ","Metropolitian ","Cloudy","Jam ",0
"16/03/2022","23:00:00","23:10:00",36,"Snack ",31,3.6,6,"motorcycle ",1,"No ","Metropolitian ","Fog","Low ",0
"27/03/2022","21:15:00","21:30:00",39,"Meal ",24,4,4,"motorcycle ",1,"No ","Metropolitian ","Cloudy","Jam ",0
"18/03/2022","20:40:00","20:45:00",41,"Snack ",31,3.5,15,"scooter ",2,"Yes ","Metropolitian ","Windy","Jam ",1
"15/02/2022","23:50:00","0:05:00",30,"Meal ",34,4.1,19,"motorcycle ",0,"No ","Metropolitian ","Windy","Low ",1
"23/03/2022","18:30:00","18:40:00",48,"Snack ",38,4.8,9,"motorcycle ",0,"No ","Metropolitian ","Cloudy","Medium ",1
"11/03/2022","17:55:00","18:10:00",22,"Drinks ",25,4.7,12,"electric_scooter ",2,"No ","Metropolitian ","Stormy","Medium ",1
"16/02/2022","21:10:00","21:15:00",26,"Buffet ",33,4.8,6,"motorcycle ",1,"No ","Metropolitian ","Sandstorms","Jam ",1
"28/03/2022","21:35:00","21:50:00",31,"Meal ",36,4.7,3,"motorcycle ",0,"No ","Metropolitian ","Cloudy","Jam ",1
"20/03/2022","17:35:00","17:50:00",30,"Snack ",38,4.5,1,"scooter ",1,"No ","Metropolitian ","Stormy","Medium ",1
"18/02/2022","18:40:00","18:55:00",37,"Buffet ",20,4.9,9,"motorcycle ",0,"No ","Metropolitian ","Fog","Medium ",1
"24/03/2022","17:30:00","17:45:00",25,"Snack ",25,4.6,15,"motorcycle ",2,"No ","Metropolitian ","Stormy","Medium ",1
"31/03/2022","17:30:00","17:40:00",33,"Buffet ",35,4.4,3,"scooter ",1,"No ","Metropolitian ","Sandstorms","Medium ",0
"7/03/2022","10:15:00","10:20:00",11,"Snack ",29,4.6,22,"electric_scooter ",2,"No ","Urban ","Stormy","Low ",0
"5/03/2022","23:15:00","23:30:00",14,"Meal ",24,4.6,18,"motorcycle ",0,"No ","Urban ","Stormy","Low ",1
"26/03/2022","23:45:00","23:50:00",16,"Meal ",23,4.8,17,"motorcycle ",1,"No ","Urban ","Cloudy","Low ",0
"6/03/2022","21:50:00","21:55:00",51,"Buffet ",36,4.1,3,"motorcycle ",0,"No ","Metropolitian ","Stormy","Jam ",3
"8/03/2022","19:45:00","20:00:00",50,"Snack ",32,4.7,18,"motorcycle ",0,"Yes ","Metropolitian ","Sandstorms","Jam ",2
"23/03/2022","21:10:00","21:20:00",31,"Meal ",28,4.3,11,"motorcycle ",2,"No ","Metropolitian ","Cloudy","Jam ",1
"19/03/2022","10:45:00","11:00:00",22,"Meal ",31,4.9,3,"motorcycle ",0,"No ","Metropolitian ","Sunny","Low ",1
"16/02/2022","17:55:00","18:00:00",37,"Drinks ",31,4.3,4,"motorcycle ",0,"No ","Metropolitian ","Stormy","Medium ",1
"5/03/2022","23:25:00","23:30:00",18,"Drinks ",27,4.8,23,"motorcycle ",2,"No ","Metropolitian ","Stormy","Low ",1
"6/04/2022","19:50:00","19:55:00",52,"Buffet ",39,4.7,19,"motorcycle ",0,"No ","Metropolitian ","Windy","Jam ",1
